;pt1	pt2	distance	type 
0	1	50.196538471720892	Q20220811154003 
1	0	50.196538471720892	Q20220811154003 
1	2	50.196538471720892	Q20220811154003 
2	1	50.196538471720892	Q20220811154003 
2	3	50.196538471720892	Q20220811154003 
3	2	50.196538471720892	Q20220811154003 
3	4	50.196538471720892	Q20220811154003 
4	3	50.196538471720892	Q20220811154003 
4	5	50.196538471720892	Q20220811154003 
5	4	50.196538471720892	Q20220811154003 
5	6	50.196538471720892	Q20220811154003 
6	5	50.196538471720892	Q20220811154003 
6	7	50.196538471720892	Q20220811154003 
7	6	50.196538471720892	Q20220811154003 
7	8	50.196538471720892	Q20220811154003 
8	7	50.196538471720892	Q20220811154003 
8	9	50.196538471720892	Q20220811154003 
9	8	50.196538471720892	Q20220811154003 
9	10	50.196538471720892	Q20220811154003 
10	9	50.196538471720892	Q20220811154003 
10	11	50.196538471730669	Q20220811154003 
11	10	50.196538471730669	Q20220811154003 
11	12	50.196538471730669	Q20220811154003 
12	11	50.196538471730669	Q20220811154003 
12	13	43.416014401233028	Q20220811154003 
13	12	43.416014401233028	Q20220811154003 
13	14	6.780524070211140	Q20220811154003 
14	13	6.780524070211140	Q20220811154003 
14	15	50.196538471797659	Q20220811154003 
15	14	50.196538471797659	Q20220811154003 
15	16	50.196538471405773	Q20220811154003 
16	15	50.196538471405773	Q20220811154003 
16	17	50.196538471797659	Q20220811154003 
17	16	50.196538471797659	Q20220811154003 
17	18	50.196538471405773	Q20220811154003 
18	17	50.196538471405773	Q20220811154003 
18	19	50.196538471797659	Q20220811154003 
19	18	50.196538471797659	Q20220811154003 
19	20	50.196538471405773	Q20220811154003 
20	19	50.196538471405773	Q20220811154003 
20	21	50.196538471797659	Q20220811154003 
21	20	50.196538471797659	Q20220811154003 
21	22	50.196538471431523	Q20220811154003 
22	21	50.196538471431523	Q20220811154003 
22	23	34.183581631379482	Q20220811154003 
23	22	34.183581631379482	Q20220811154003 
23	24	16.012956840301555	Q20220811154003 
24	23	16.012956840301555	Q20220811154003 
24	25	50.196538471638412	Q20220811154003 
25	24	50.196538471638412	Q20220811154003 
25	26	50.196538471638412	Q20220811154003 
26	25	50.196538471638412	Q20220811154003 
26	27	50.196538471688456	Q20220811154003 
27	26	50.196538471688456	Q20220811154003 
27	28	50.196538471688456	Q20220811154003 
28	27	50.196538471688456	Q20220811154003 
28	29	50.196538471688456	Q20220811154003 
29	28	50.196538471688456	Q20220811154003 
29	30	50.196538471738506	Q20220811154003 
30	29	50.196538471738506	Q20220811154003 
30	31	50.196538471550745	Q20220811154003 
31	30	50.196538471550745	Q20220811154003 
31	32	8.587925346343933	Q20220811154003 
32	31	8.587925346343933	Q20220811154003 
32	33	41.608613125305524	Q20220811154003 
33	32	41.608613125305524	Q20220811154003 
33	34	50.196538471562434	Q20220811154003 
34	33	50.196538471562434	Q20220811154003 
34	35	20.079189888738814	Q20220811154003 
35	34	20.079189888738814	Q20220811154003 
35	36	30.117348582851978	Q20220811154003 
36	35	30.117348582851978	Q20220811154003 
36	37	50.196538471625992	Q20220811154003 
37	36	50.196538471625992	Q20220811154003 
37	38	26.237903409529736	Q20220811154003 
38	37	26.237903409529736	Q20220811154003 
38	39	23.958635062076798	Q20220811154003 
39	38	23.958635062076798	Q20220811154003 
39	40	50.196538471574812	Q20220811154003 
40	39	50.196538471574812	Q20220811154003 
40	41	50.196538471574812	Q20220811154003 
41	40	50.196538471574812	Q20220811154003 
41	42	50.196538471574812	Q20220811154003 
42	41	50.196538471574812	Q20220811154003 
42	43	50.196538471574812	Q20220811154003 
43	42	50.196538471574812	Q20220811154003 
43	44	50.196538471574812	Q20220811154003 
44	43	50.196538471574812	Q20220811154003 
44	45	50.196538471574812	Q20220811154003 
45	44	50.196538471574812	Q20220811154003 
45	46	50.196538471574812	Q20220811154003 
46	45	50.196538471574812	Q20220811154003 
46	47	50.196538471574812	Q20220811154003 
47	46	50.196538471574812	Q20220811154003 
47	48	50.196538471642882	Q20220811154003 
48	47	50.196538471642882	Q20220811154003 
48	49	50.196538471574812	Q20220811154003 
49	48	50.196538471574812	Q20220811154003 
49	50	31.070420560637242	Q20220811154003 
50	49	31.070420560637242	Q20220811154003 
50	51	19.126117910866679	Q20220811154003 
51	50	19.126117910866679	Q20220811154003 
51	52	50.196538471690523	Q20220811154003 
52	51	50.196538471690523	Q20220811154003 
52	53	50.196538471690538	Q20220811154003 
53	52	50.196538471690538	Q20220811154003 
53	54	28.531780781656398	Q20220811154003 
54	53	28.531780781656398	Q20220811154003 
54	55	21.664757689878627	Q20220811154003 
55	54	21.664757689878627	Q20220811154003 
55	56	50.196538471595794	Q20220811154003 
56	55	50.196538471595794	Q20220811154003 
56	57	50.196538471595794	Q20220811154003 
57	56	50.196538471595794	Q20220811154003 
57	58	50.196538471553275	Q20220811154003 
58	57	50.196538471553275	Q20220811154003 
58	59	50.196538471553275	Q20220811154003 
59	58	50.196538471553275	Q20220811154003 
59	60	50.196538471553275	Q20220811154003 
60	59	50.196538471553275	Q20220811154003 
60	61	50.196538471553275	Q20220811154003 
61	60	50.196538471553275	Q20220811154003 
61	62	50.196538471553275	Q20220811154003 
62	61	50.196538471553275	Q20220811154003 
62	63	50.196538471553275	Q20220811154003 
63	62	50.196538471553275	Q20220811154003 
63	64	50.196538471553275	Q20220811154003 
64	63	50.196538471553275	Q20220811154003 
64	65	50.196538471553275	Q20220811154003 
65	64	50.196538471553275	Q20220811154003 
65	66	50.196538471553275	Q20220811154003 
66	65	50.196538471553275	Q20220811154003 
66	67	50.196538471553275	Q20220811154003 
67	66	50.196538471553275	Q20220811154003 
67	68	50.196538471510763	Q20220811154003 
68	67	50.196538471510763	Q20220811154003 
68	69	18.392612941555491	Q20220811154003 
69	68	18.392612941555491	Q20220811154003 
69	70	31.803925530138340	Q20220811154003 
70	69	31.803925530138340	Q20220811154003 
70	71	50.196538471682331	Q20220811154003 
71	70	50.196538471682331	Q20220811154003 
71	72	50.196538471682331	Q20220811154003 
72	71	50.196538471682331	Q20220811154003 
72	73	50.196538471682331	Q20220811154003 
73	72	50.196538471682331	Q20220811154003 
73	74	50.196538471734122	Q20220811154003 
74	73	50.196538471734122	Q20220811154003 
74	75	50.196538471521663	Q20220811154003 
75	74	50.196538471521663	Q20220811154003 
75	76	50.196538471682331	Q20220811154003 
76	75	50.196538471682331	Q20220811154003 
76	77	25.117449132844229	Q20220811154003 
77	76	25.117449132844229	Q20220811154003 
77	78	25.079089338742513	Q20220811154003 
78	77	25.079089338742513	Q20220811154003 
78	79	50.196538471617842	Q20220811154003 
79	78	50.196538471617842	Q20220811154003 
79	80	50.196538471617842	Q20220811154003 
80	79	50.196538471617842	Q20220811154003 
80	81	50.196538471617842	Q20220811154003 
81	80	50.196538471617842	Q20220811154003 
81	82	50.196538471617842	Q20220811154003 
82	81	50.196538471617842	Q20220811154003 
82	83	50.196538471614524	Q20220811154003 
83	82	50.196538471614524	Q20220811154003 
83	84	3.972738425924316	Q20220811154003 
84	83	3.972738425924316	Q20220811154003 
84	85	46.223800045633958	Q20220811154003 
85	84	46.223800045633958	Q20220811154003 
85	86	50.196538471539689	Q20220811154003 
86	85	50.196538471539689	Q20220811154003 
86	87	50.196538471539689	Q20220811154003 
87	86	50.196538471539689	Q20220811154003 
87	88	50.196538471539689	Q20220811154003 
88	87	50.196538471539689	Q20220811154003 
88	89	50.196538471675986	Q20220811154003 
89	88	50.196538471675986	Q20220811154003 
89	90	50.196538471539689	Q20220811154003 
90	89	50.196538471539689	Q20220811154003 
90	91	50.196538471675986	Q20220811154003 
91	90	50.196538471675986	Q20220811154003 
91	92	50.196538471539689	Q20220811154003 
92	91	50.196538471539689	Q20220811154003 
92	93	50.196538471675986	Q20220811154003 
93	92	50.196538471675986	Q20220811154003 
93	94	50.196538471539689	Q20220811154003 
94	93	50.196538471539689	Q20220811154003 
94	95	50.196538471675986	Q20220811154003 
95	94	50.196538471675986	Q20220811154003 
95	96	50.196538471539689	Q20220811154003 
96	95	50.196538471539689	Q20220811154003 
96	97	50.196538471620329	Q20220811154003 
97	96	50.196538471620329	Q20220811154003 
97	98	5.655233508566191	Q20220811154003 
98	97	5.655233508566191	Q20220811154003 
98	99	44.541304963094930	Q20220811154003 
99	98	44.541304963094930	Q20220811154003 
99	100	50.196538471580070	Q20220811154003 
100	99	50.196538471580070	Q20220811154003 
100	101	50.196538471580070	Q20220811154003 
101	100	50.196538471580070	Q20220811154003 
101	102	50.196538471580070	Q20220811154003 
102	101	50.196538471580070	Q20220811154003 
102	103	50.196538471527269	Q20220811154003 
103	102	50.196538471527269	Q20220811154003 
103	104	50.196538471527269	Q20220811154003 
104	103	50.196538471527269	Q20220811154003 
104	105	50.196538471527269	Q20220811154003 
105	104	50.196538471527269	Q20220811154003 
105	106	50.196538471527269	Q20220811154003 
106	105	50.196538471527269	Q20220811154003 
106	107	50.196538471670515	Q20220811154003 
107	106	50.196538471670515	Q20220811154003 
107	108	50.196538471527269	Q20220811154003 
108	107	50.196538471527269	Q20220811154003 
108	109	17.958398448076306	Q20220811154003 
109	108	17.958398448076306	Q20220811154003 
109	110	32.238140023568157	Q20220811154003 
110	109	32.238140023568157	Q20220811154003 
110	111	50.196538471594693	Q20220811154003 
111	110	50.196538471594693	Q20220811154003 
111	112	50.196538471594693	Q20220811154003 
112	111	50.196538471594693	Q20220811154003 
112	113	50.196538471594693	Q20220811154003 
113	112	50.196538471594693	Q20220811154003 
113	114	50.196538471538702	Q20220811154003 
114	113	50.196538471538702	Q20220811154003 
114	115	50.196538471538702	Q20220811154003 
115	114	50.196538471538702	Q20220811154003 
115	116	50.196538471538702	Q20220811154003 
116	115	50.196538471538702	Q20220811154003 
116	117	50.196538471538702	Q20220811154003 
117	116	50.196538471538702	Q20220811154003 
117	118	50.196538471538702	Q20220811154003 
118	117	50.196538471538702	Q20220811154003 
118	119	50.196538471666280	Q20220811154003 
119	118	50.196538471666280	Q20220811154003 
119	120	50.196538471538702	Q20220811154003 
120	119	50.196538471538702	Q20220811154003 
120	121	50.196538471666280	Q20220811154003 
121	120	50.196538471666280	Q20220811154003 
121	122	50.196538471538702	Q20220811154003 
122	121	50.196538471538702	Q20220811154003 
122	123	50.196538471666280	Q20220811154003 
123	122	50.196538471666280	Q20220811154003 
123	124	50.196538471594693	Q20220811154003 
124	123	50.196538471594693	Q20220811154003 
124	125	6.287271500195784	Q20220811154003 
125	124	6.287271500195784	Q20220811154003 
125	126	43.909266971351158	Q20220811154003 
126	125	43.909266971351158	Q20220811154003 
126	127	50.196538471657661	Q20220811154003 
127	126	50.196538471657661	Q20220811154003 
127	128	50.196538471657661	Q20220811154003 
128	127	50.196538471657661	Q20220811154003 
128	129	50.196538471657661	Q20220811154003 
129	128	50.196538471657661	Q20220811154003 
129	130	50.196538471657661	Q20220811154003 
130	129	50.196538471657661	Q20220811154003 
130	131	50.196538471657661	Q20220811154003 
131	130	50.196538471657661	Q20220811154003 
131	132	50.196538471657661	Q20220811154003 
132	131	50.196538471657661	Q20220811154003 
132	133	50.196538471657661	Q20220811154003 
133	132	50.196538471657661	Q20220811154003 
133	134	50.196538471657661	Q20220811154003 
134	133	50.196538471657661	Q20220811154003 
134	135	50.196538471709715	Q20220811154003 
135	134	50.196538471709715	Q20220811154003 
135	136	50.196538471709715	Q20220811154003 
136	135	50.196538471709715	Q20220811154003 
136	137	50.196538471501391	Q20220811154003 
137	136	50.196538471501391	Q20220811154003 
137	138	50.196538471709715	Q20220811154003 
138	137	50.196538471709715	Q20220811154003 
138	139	50.196538471553446	Q20220811154003 
139	138	50.196538471553446	Q20220811154003 
139	140	50.196538471709715	Q20220811154003 
140	139	50.196538471709715	Q20220811154003 
140	141	20.238301800994972	Q20220811154003 
141	140	20.238301800994972	Q20220811154003 
141	142	29.958236670734514	Q20220811154003 
142	141	29.958236670734514	Q20220811154003 
142	143	50.196538471684399	Q20220811154003 
143	142	50.196538471684399	Q20220811154003 
143	144	50.196538471684399	Q20220811154003 
144	143	50.196538471684399	Q20220811154003 
144	145	50.196538471684399	Q20220811154003 
145	144	50.196538471684399	Q20220811154003 
145	146	50.196538471684399	Q20220811154003 
146	145	50.196538471684399	Q20220811154003 
146	147	50.196538471734662	Q20220811154003 
147	146	50.196538471734662	Q20220811154003 
147	148	50.196538471734662	Q20220811154003 
148	147	50.196538471734662	Q20220811154003 
148	149	50.196538471499842	Q20220811154003 
149	148	50.196538471499842	Q20220811154003 
149	150	50.196538471734662	Q20220811154003 
150	149	50.196538471734662	Q20220811154003 
150	151	50.196538471499842	Q20220811154003 
151	150	50.196538471499842	Q20220811154003 
151	152	50.196538471734662	Q20220811154003 
152	151	50.196538471734662	Q20220811154003 
152	153	50.196538471499842	Q20220811154003 
153	152	50.196538471499842	Q20220811154003 
153	154	50.196538471734662	Q20220811154003 
154	153	50.196538471734662	Q20220811154003 
154	155	50.196538471499842	Q20220811154003 
155	154	50.196538471499842	Q20220811154003 
155	156	50.196538471684399	Q20220811154003 
156	155	50.196538471684399	Q20220811154003 
156	157	50.196538471499842	Q20220811154003 
157	156	50.196538471499842	Q20220811154003 
157	158	50.196538471684399	Q20220811154003 
158	157	50.196538471684399	Q20220811154003 
158	159	50.196538471499842	Q20220811154003 
159	158	50.196538471499842	Q20220811154003 
159	160	50.196538471684399	Q20220811154003 
160	159	50.196538471684399	Q20220811154003 
160	161	9.449128963650541	Q20220811154003 
161	160	9.449128963650541	Q20220811154003 
161	162	40.747409507852083	Q20220811154003 
162	161	40.747409507852083	Q20220811154003 
162	163	50.196538471711357	Q20220811154003 
