;Style	D/H	bottomwidth	angle	Manning	Water level	Infiltration	group
Q20220830092903	3.84	25	64	0.025	0	0	0
Q20220830093020	3.84	25	64	0.025	0	0	0
Q20220830093028	3.84	25	64	0.025	0	0	0
Q20220830092916	3.84	25	64	0.025	0	0	0
Q20220830092923	3.97	17.5	64	0.025	0	0	0
Q20220830094401	5	8.75	64	0.025	0	0	0
Q20220830094318	3.21	5	64	0.025	0	0	0
Q20231008165717	5	5	0	0.02	0	0	0
Q20250816163920	3	6	0	0.025	0	0	0
Q20251016164356	5	25	0	0.025	0	0	0
Q20251016164614	5	25	0	0.02	0	0	0
Q20251016164715	5	25	0	0.02	0	0	0
Q20251016164743	5	25	0	0.02	0	0	0
Q20251016164817	5	5	0	0.02	0	0	0
Q20251016164846	5	5	0	0.02	0	0	0
Q20251016164908	5	5	0	0.02	0	0	0
Q20251016164540	5	25	0	0.02	0	0	0
Q20260516121841	5	5	0	0.025	0	0	0
Q20260516121621	5	5	0	0.025	0	0	0
