;pt1	pt2	distance	type
0	1	163.334349342186930	Q20220830092903
1	0	163.334349342186930	Q20220830092903
1	2	163.334349342186930	Q20220830092903
2	1	163.334349342186930	Q20220830092903
2	3	165.005876799954110	Q20220830092903
3	2	165.005876799954110	Q20220830092903
3	4	163.334349342427370	Q20220830092903
4	3	163.334349342427370	Q20220830092903
4	5	163.334349342427370	Q20220830092903
5	4	163.334349342427370	Q20220830092903
5	6	163.334349342478990	Q20220830092903
6	5	163.334349342478990	Q20220830092903
6	7	163.334349342048140	Q20220830092903
7	6	163.334349342048140	Q20220830092903
7	8	163.334349342478990	Q20220830092903
8	7	163.334349342478990	Q20220830092903
8	9	163.334349342048140	Q20220830092903
9	8	163.334349342048140	Q20220830092903
9	10	163.334349342478990	Q20220830092903
10	9	163.334349342478990	Q20220830092903
10	11	163.334349342099760	Q20220830092903
11	10	163.334349342099760	Q20220830092903
11	12	304.741122562770100	Q20220830092903
12	11	304.741122562770100	Q20220830092903
12	13	163.334349341969070	Q20220830092903
13	12	163.334349341969070	Q20220830092903
13	14	163.334349341969070	Q20220830092903
14	13	163.334349341969070	Q20220830092903
14	15	163.334349341935960	Q20220830092903
15	14	163.334349341935960	Q20220830092903
15	16	163.334349341902850	Q20220830092903
16	15	163.334349341902850	Q20220830092903
16	17	163.334349342635760	Q20220830092903
17	16	163.334349342635760	Q20220830092903
17	18	195.048309296658740	Q20220830092903
18	17	195.048309296658740	Q20220830092903
18	19	163.334349342452240	Q20220830092903
18	935	260.325714098795230	Q20251016164356
19	18	163.334349342452240	Q20220830092903
19	20	163.334349342485610	Q20220830092903
20	19	163.334349342485610	Q20220830092903
20	21	163.334349342485610	Q20220830092903
21	20	163.334349342485610	Q20220830092903
21	22	277.227199980878990	Q20220830092903
22	21	277.227199980878990	Q20220830092903
22	23	163.334349342615920	Q20220830092903
23	22	163.334349342615920	Q20220830092903
23	24	163.334349341911690	Q20220830092903
24	23	163.334349341911690	Q20220830092903
24	25	163.334349342580540	Q20220830092903
25	24	163.334349342580540	Q20220830092903
25	26	163.334349341911690	Q20220830092903
26	25	163.334349341911690	Q20220830092903
26	27	238.619699433934640	Q20220830092903
27	26	238.619699433934640	Q20220830092903
27	28	163.334349342388830	Q20220830092903
28	27	163.334349342388830	Q20220830092903
28	29	163.334349342388830	Q20220830092903
29	28	163.334349342388830	Q20220830092903
29	30	163.334349342388830	Q20220830092903
30	29	163.334349342388830	Q20220830092903
30	31	295.635521318333470	Q20220830092903
31	30	295.635521318333470	Q20220830092903
31	32	163.334349342498910	Q20220830092903
32	31	163.334349342498910	Q20220830092903
32	33	163.334349342528610	Q20220830092903
33	32	163.334349342528610	Q20220830092903
33	34	163.334349342528610	Q20220830092903
34	33	163.334349342528610	Q20220830092903
34	35	163.334349342558280	Q20220830092903
35	34	163.334349342558280	Q20220830092903
35	36	163.334349342587980	Q20220830092903
36	35	163.334349342587980	Q20220830092903
36	37	184.015684388081720	Q20220830092903
37	36	184.015684388081720	Q20220830092903
37	38	163.334349342510710	Q20220830092903
38	37	163.334349342510710	Q20220830092903
38	39	163.334349342519910	Q20220830092903
39	38	163.334349342519910	Q20220830092903
39	40	163.334349342519910	Q20220830092903
40	39	163.334349342519910	Q20220830092903
40	41	163.334349342519910	Q20220830092903
41	40	163.334349342519910	Q20220830092903
41	42	163.334349342519910	Q20220830092903
42	41	163.334349342519910	Q20220830092903
42	43	163.334349342519910	Q20220830092903
43	42	163.334349342519910	Q20220830092903
43	44	163.334349342519910	Q20220830092903
44	43	163.334349342519910	Q20220830092903
44	45	163.334349342519910	Q20220830092903
45	44	163.334349342519910	Q20220830092903
45	46	163.334349342519910	Q20220830092903
46	45	163.334349342519910	Q20220830092903
46	47	163.334349342519910	Q20220830092903
47	46	163.334349342519910	Q20220830092903
47	48	286.636502234056480	Q20220830092903
48	47	286.636502234056480	Q20220830092903
48	49	163.334349342298370	Q20220830092903
49	48	163.334349342298370	Q20220830092903
49	50	163.334349342298370	Q20220830092903
50	49	163.334349342298370	Q20220830092903
50	51	163.334349342298370	Q20220830092903
51	50	163.334349342298370	Q20220830092903
51	52	163.334349342298370	Q20220830092903
52	51	163.334349342298370	Q20220830092903
52	53	163.334349342298370	Q20220830092903
53	52	163.334349342298370	Q20220830092903
53	54	163.334349342298370	Q20220830092903
54	53	163.334349342298370	Q20220830092903
54	55	163.334349342298370	Q20220830092903
55	54	163.334349342298370	Q20220830092903
55	56	163.334349342298370	Q20220830092903
56	55	163.334349342298370	Q20220830092903
56	57	163.334349342298370	Q20220830092903
57	56	163.334349342298370	Q20220830092903
57	58	163.334349342298370	Q20220830092903
58	57	163.334349342298370	Q20220830092903
58	59	163.334349342298370	Q20220830092903
59	58	163.334349342298370	Q20220830092903
59	60	163.334349342298370	Q20220830092903
60	59	163.334349342298370	Q20220830092903
60	61	163.334349342298370	Q20220830092903
61	60	163.334349342298370	Q20220830092903
61	62	163.334349342298370	Q20220830092903
62	61	163.334349342298370	Q20220830092903
62	63	163.334349342298370	Q20220830092903
63	62	163.334349342298370	Q20220830092903
63	64	163.334349342298370	Q20220830092903
64	63	163.334349342298370	Q20220830092903
64	65	163.334349342298370	Q20220830092903
65	64	163.334349342298370	Q20220830092903
65	66	163.334349342298370	Q20220830092903
66	65	163.334349342298370	Q20220830092903
66	67	163.334349342298370	Q20220830092903
67	66	163.334349342298370	Q20220830092903
67	68	163.334349342298370	Q20220830092903
68	67	163.334349342298370	Q20220830092903
68	69	163.334349342333720	Q20220830092903
69	68	163.334349342333720	Q20220830092903
69	70	163.334349342333720	Q20220830092903
70	69	163.334349342333720	Q20220830092903
70	71	163.334349342333720	Q20220830092903
71	70	163.334349342333720	Q20220830092903
71	72	163.334349342333720	Q20220830092903
72	71	163.334349342333720	Q20220830092903
72	73	163.334349342333720	Q20220830092903
73	72	163.334349342333720	Q20220830092903
73	74	163.334349342333720	Q20220830092903
74	73	163.334349342333720	Q20220830092903
74	75	307.789013850875510	Q20220830092903
75	74	307.789013850875510	Q20220830092903
75	76	163.334349342023100	Q20220830092903
76	75	163.334349342023100	Q20220830092903
76	77	163.334349342023100	Q20220830092903
77	76	163.334349342023100	Q20220830092903
77	78	163.334349342023100	Q20220830092903
78	77	163.334349342023100	Q20220830092903
78	79	163.334349342023100	Q20220830092903
79	78	163.334349342023100	Q20220830092903
79	80	163.334349341988940	Q20220830092903
80	79	163.334349341988940	Q20220830092903
80	81	163.334349341988940	Q20220830092903
81	80	163.334349341988940	Q20220830092903
81	82	163.334349341988940	Q20220830092903
82	81	163.334349341988940	Q20220830092903
82	83	163.334349341988940	Q20220830092903
83	82	163.334349341988940	Q20220830092903
83	84	163.334349341954780	Q20220830092903
84	83	163.334349341954780	Q20220830092903
84	85	163.334349341954780	Q20220830092903
85	84	163.334349341954780	Q20220830092903
85	86	163.334349341920640	Q20220830092903
86	85	163.334349341920640	Q20220830092903
